table,itemtype,http_status,total
glpi_networkportaggregates,Networkportaggregate,400,-
glpi_networkportaliases,Networkportalias,400,-
glpi_networkportconnectionlogs,Networkportconnectionlog,400,-
glpi_networkportdialups,Networkportdialup,400,-
glpi_networkportethernets,Networkportethernet,400,-
glpi_networkportfiberchannels,Networkportfiberchannel,400,-
glpi_networkportfiberchanneltypes,Networkportfiberchanneltype,400,-
glpi_networkportlocals,Networkportlocal,400,-
glpi_networkportmetrics,Networkportmetric,400,-
glpi_networkports,Networkport,400,-
glpi_networkports_networkports,NetworkportsNetworkport,400,-
glpi_networkports_vlans,NetworkportsVlan,400,-
glpi_networkporttypes,Networkporttype,400,-
glpi_networkportwifis,Networkportwifi,400,-
glpi_networks,Network,200,-
glpi_notepads,Notepad,200,-
glpi_notifications,Notification,206,85
glpi_notifications_notificationtemplates,NotificationsNotificationtemplate,400,-
glpi_notificationtargets,Notificationtarget,400,-
glpi_notificationtemplates,Notificationtemplate,400,-
glpi_notificationtemplatetranslations,Notificationtemplatetranslation,400,-
glpi_notimportedemails,Notimportedemail,400,-
glpi_objectlocks,Objectlock,400,-
glpi_olalevelactions,Olalevelaction,400,-
glpi_olalevelcriterias,Olalevelcriteria,400,-
glpi_olalevels,Olalevel,400,-
glpi_olalevels_tickets,OlalevelsTicket,400,-
glpi_olas,Ola,400,-
glpi_operatingsystemarchitectures,Operatingsystemarchitecture,400,-
glpi_operatingsystemeditions,Operatingsystemedition,400,-
glpi_operatingsystemkernels,Operatingsystemkernel,400,-
glpi_operatingsystemkernelversions,Operatingsystemkernelversion,400,-
glpi_operatingsystems,Operatingsystem,400,-
glpi_operatingsystemservicepacks,Operatingsystemservicepack,400,-
glpi_operatingsystemversions,Operatingsystemversion,400,-
glpi_passivedcequipmentmodels,Passivedcequipmentmodel,400,-
glpi_passivedcequipments,Passivedcequipment,400,-
glpi_passivedcequipmenttypes,Passivedcequipmenttype,400,-
glpi_pcivendors,Pcivendor,400,-
glpi_pdumodels,Pdumodel,400,-
glpi_pdus,Pdu,200,-
glpi_pdus_plugs,PdusPlug,400,-
glpi_pdus_racks,PdusRack,400,-
glpi_pdutypes,Pdutype,400,-
glpi_pendingreasons,Pendingreason,400,-
glpi_pendingreasons_items,PendingreasonsItem,400,-
glpi_peripheralmodels,Peripheralmodel,400,-
glpi_peripherals,Peripheral,403,-
glpi_peripheraltypes,Peripheraltype,400,-
glpi_phonemodels,Phonemodel,400,-
glpi_phonepowersupplies,Phonepowersupply,400,-
glpi_phones,Phone,403,-
glpi_phonetypes,Phonetype,400,-
glpi_planningeventcategories,Planningeventcategory,400,-
glpi_planningexternalevents,Planningexternalevent,400,-
glpi_planningexternaleventtemplates,Planningexternaleventtemplate,400,-
glpi_planningrecalls,Planningrecall,400,-
glpi_plugins,Plugin,206,16
glpi_plugs,Plug,200,-
glpi_printerlogs,Printerlog,400,-
glpi_printermodels,Printermodel,400,-
glpi_printers,Printer,403,-
glpi_printers_cartridgeinfos,PrintersCartridgeinfo,400,-
glpi_printertypes,Printertype,400,-
glpi_problemcosts,Problemcost,400,-
glpi_problems,Problem,200,-
glpi_problems_suppliers,ProblemsSupplier,400,-
glpi_problems_tickets,ProblemsTicket,400,-
glpi_problems_users,ProblemsUser,400,-
glpi_problemtasks,Problemtask,400,-
glpi_problemtemplatehiddenfields,Problemtemplatehiddenfield,400,-
glpi_problemtemplatemandatoryfields,Problemtemplatemandatoryfield,400,-
glpi_problemtemplatepredefinedfields,Problemtemplatepredefinedfield,400,-
glpi_problemtemplates,Problemtemplate,400,-
glpi_profilerights,Profileright,400,-
glpi_profiles,Profile,206,11
glpi_profiles_reminders,ProfilesReminder,400,-
glpi_profiles_rssfeeds,ProfilesRssfeed,400,-
glpi_profiles_users,ProfilesUser,400,-
glpi_projectcosts,Projectcost,400,-
glpi_projects,Project,206,6
glpi_projectstates,Projectstate,400,-
glpi_projecttasklinks,Projecttasklink,400,-
glpi_projecttasks,Projecttask,400,-
glpi_projecttasks_tickets,ProjecttasksTicket,400,-
glpi_projecttaskteams,Projecttaskteam,400,-
glpi_projecttasktemplates,Projecttasktemplate,400,-
glpi_projecttasktypes,Projecttasktype,400,-
glpi_projectteams,Projectteam,400,-
glpi_projecttypes,Projecttype,400,-
glpi_queuednotifications,Queuednotification,400,-
glpi_rackmodels,Rackmodel,400,-
glpi_racks,Rack,200,-
glpi_racktypes,Racktype,400,-
glpi_recurrentchanges,Recurrentchange,400,-
glpi_refusedequipments,Refusedequipment,400,-
glpi_registeredids,Registeredid,400,-
glpi_reminders,Reminder,200,-
glpi_reminders_users,RemindersUser,400,-
glpi_remindertranslations,Remindertranslation,400,-
glpi_requesttypes,Requesttype,400,-
glpi_reservationitems,Reservationitem,200,1
glpi_reservations,Reservation,200,-
glpi_rssfeeds,Rssfeed,400,-
glpi_rssfeeds_users,RssfeedsUser,400,-
glpi_ruleactions,Ruleaction,400,-
glpi_rulecriterias,Rulecriteria,400,-
glpi_rulematchedlogs,Rulematchedlog,400,-
glpi_rulerightparameters,Rulerightparameter,400,-
glpi_rules,Rule,206,171
glpi_savedsearches,Savedsearch,400,-
glpi_savedsearches_alerts,SavedsearchesAlert,400,-
glpi_savedsearches_users,SavedsearchesUser,400,-
glpi_slalevelactions,Slalevelaction,400,-
glpi_slalevelcriterias,Slalevelcriteria,400,-
